Name,📁 Characters,📁 Location,Order,Part,Solutions
James discovers the danger of the mad magic machine,James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1260,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
The Asylum client ignores James’ warning,James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1270,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
James and Adelle are banished from the Asylum,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),1600,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
James and Adelle traverse the city streets at night,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The City of Orphans (../Data/Locations/The%20City%20of%20Orphans%2079bb690186294ddfbd417bfcc108b5ac.md),1700,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
James and Adelle arrive at his parents’ house,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), Drenodir (../Data/Characters/Drenodir%20940bfbf595f74f91ad51de93d77ffd66.md), The Nurse (../Data/Characters/The%20Nurse%20ae7cf88e2f574b81aa0e515dc0b8a1e5.md)",The City of Orphans (../Data/Locations/The%20City%20of%20Orphans%2079bb690186294ddfbd417bfcc108b5ac.md),1750,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Commuting to the Asylum,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), The Bear (../Data/Characters/The%20Bear%2095e68e70d28b409281fa2b931537bb79.md), Grihulone (../Data/Characters/Grihulone%202d91344ae15949058912e3cfbfb76a83.md)",The City of Orphans (../Data/Locations/The%20City%20of%20Orphans%2079bb690186294ddfbd417bfcc108b5ac.md),1800,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),Dangerous commute (../Solutions/Dangerous%20commute%2015258e628ba280309ab4d3d30701427b.md)
Resuming work on the Asylum project,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), The Bear (../Data/Characters/The%20Bear%2095e68e70d28b409281fa2b931537bb79.md), Grihulone (../Data/Characters/Grihulone%202d91344ae15949058912e3cfbfb76a83.md)",The City of Orphans (../Data/Locations/The%20City%20of%20Orphans%2079bb690186294ddfbd417bfcc108b5ac.md),1850,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Adelle and the Nurse running errands,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), The Nurse (../Data/Characters/The%20Nurse%20ae7cf88e2f574b81aa0e515dc0b8a1e5.md)",The City of Orphans (../Data/Locations/The%20City%20of%20Orphans%2079bb690186294ddfbd417bfcc108b5ac.md),1900,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),Dangerous commute (../Solutions/Dangerous%20commute%2015258e628ba280309ab4d3d30701427b.md)
Adelle becomes a barista,Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md),The City of Orphans (../Data/Locations/The%20City%20of%20Orphans%2079bb690186294ddfbd417bfcc108b5ac.md),2000,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),Adelle as a Barista (../Solutions/Adelle%20as%20a%20Barista%201d858e628ba280d9bac1cc43140ce0b9.md)
Fugue arrives at the Asylum,Fugue (../Data/Characters/Fugue%20bdd790d4131449d7b9597d755f68e726.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),2050,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Hell is about to break loose in the Asylum,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),3000,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Hell breaks lose in the Asylum,James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),3500,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
James partially resolves the Asylum problems,James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md),The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),4000,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
People flee the Asylum,"James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md), Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md)",The Asylum (../Data/Locations/The%20Asylum%2084234f68b64e4530836706622d4bde1b.md),4500,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
Unnamed Asylum agency scene,"Adelle (../Data/Characters/Adelle%202ff1980fd10b42a7bc0f65b61a2ab3e8.md), Asylum orderly (../Data/Characters/Asylum%20orderly%203c8b7f4303d44584ad766ae6b23e7cab.md), Millamer (../Data/Characters/Millamer%20b9feb3f85e784020a074f460918e85b7.md), Grihulone (../Data/Characters/Grihulone%202d91344ae15949058912e3cfbfb76a83.md), Fugue (../Data/Characters/Fugue%20bdd790d4131449d7b9597d755f68e726.md), James (../Data/Characters/James%2014f6a0f77a694f4cb18881bb58846c94.md)",,,Part 2 (TWOLD%20scenes%20by%20part/Parts%20database/Part%202%206d0794431879425dbafe691c2f758825.md),
