Name,Children,Events,Features,Parents,Priority,Products,Scenes,🌌 Scenes
Reading Marloth changes people,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
James submitted to Tralvorkemen,,,,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Uncertified magic experts,,,,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Fighting against the magic system,,,,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Dangerous commute,,,Dangerous city (../Features/Dangerous%20city%20f2ec9bb510dc440b96920e4651a259be.md),,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,"Adelle and the Nurse running errands (../Scenes/Adelle%20and%20the%20Nurse%20running%20errands%2018058e628ba280c488b3c493ef731c08.md), Commuting to the Asylum (../Scenes/Commuting%20to%20the%20Asylum%2017f58e628ba28021af5ce566efcfae17.md)"
“Plan for the worst…”,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Millamer seeing Nivana at “work”,,,,,Consideration,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Hint that the Wizards nudged the bomb in order to swoop in and take over,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
The agency losing an existing contract to a larger competitor,,,James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md),,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
(Next book) James working for the Wizards,,,James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md),,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Further discussion between James and Jarvanis (../Scenes/Further%20discussion%20between%20James%20and%20Jarvanis%2013458e628ba280ad9a28de85031d5bc2.md),
James and Adelle helping someone in the forest,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Adelle as a Barista,,,"Feminine duties (../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md), Cozy (../Features/Cozy%2027e58e628ba280a889b9d93e442abcb8.md)",Adelle jobs (../Solutions/Adelle%20jobs%2027e58e628ba280cfa819e0af62452435.md),High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Adelle becomes a barista (../Scenes/Adelle%20becomes%20a%20barista%2021258e628ba280aca16ffd6e4fa4c8f1.md),Adelle becomes a barista (../Scenes/Adelle%20becomes%20a%20barista%2021258e628ba280aca16ffd6e4fa4c8f1.md)
James as Risk Manager,,,"Condescension (../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md), James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md)",,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Members of an unpopular affiliation,,,,,Consideration,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Scarce light sources,,,Vulnerable to light (../Features/Vulnerable%20to%20light%2027c58e628ba280f3aa0af9365c7362c5.md),,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
The light industry is booming,Magic lights job (../Solutions/Magic%20lights%20job%202e058e628ba280e7b11feb451b4f28c0.md),,Vulnerable to light (../Features/Vulnerable%20to%20light%2027c58e628ba280f3aa0af9365c7362c5.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Initially shroud the Asylum job in mystery,,,"Mystery (../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md)",,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Meeting for Asylum contract (../Scenes/Meeting%20for%20Asylum%20contract%20d02db7bd069944e68bf6a9e31b7de076.md),Meeting for Asylum contract (../Scenes/Meeting%20for%20Asylum%20contract%20d02db7bd069944e68bf6a9e31b7de076.md)
People discounting James because he is neither scientist nor wizard,,,James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md),,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),James examines the mad magic machine (../Scenes/James%20examines%20the%20mad%20magic%20machine%2013558e628ba28077a382db61bba5ee85.md),
James meets Miles in the Asylum,,,Stumbling upon stationary characters (../Features/Stumbling%20upon%20stationary%20characters%201d458e628ba28045a765d8c37bf00e42.md),,Consideration,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Wife home healthcare,,,Feminine duties (../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
James and Adelle preparing to leave the Asylum,,,,,Consideration,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
James physical combat suffering,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
James and Adelle behind-the-scenes discussions,,,,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),James and Adelle have dinner in the Asylum (../Scenes/James%20and%20Adelle%20have%20dinner%20in%20the%20Asylum%2013558e628ba2800cb54fd7815f13c826.md),
Repeated recounting,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
The Bear gives James maps,,,,,Consideration,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Questioning what is actually outside the Asylum,,,Mystery (../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md),,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Books are magical,,,,,Low,"TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md), A Child’s Fairytale World (../Data/Products/A%20Child%E2%80%99s%20Fairytale%20World%20c368a02eabb74a47ab322615f2769723.md)",,
Adelle jobs,"Adelle as a Barista (../Solutions/Adelle%20as%20a%20Barista%201d858e628ba280d9bac1cc43140ce0b9.md), Adelle as a maid (../Solutions/Adelle%20as%20a%20maid%20e44bfe4304c44cfca11e22c29d2a08dd.md), Adelle as a Seamstress (../Solutions/Adelle%20as%20a%20Seamstress%2028058e628ba28085be5bc2bd12c68bbb.md)",,Feminine duties (../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md),,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Mr. Mosspuddle running a book shop,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Mr. Mosspuddle printing copies of Marloth,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Adelle as a Seamstress,,,Feminine duties (../Features/Feminine%20duties%20dda5bbf7da044e799df53801b873a5c6.md),Adelle jobs (../Solutions/Adelle%20jobs%2027e58e628ba280cfa819e0af62452435.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Adelle’s maid experience helps as a barista,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Adelle becomes a barista (../Scenes/Adelle%20becomes%20a%20barista%2021258e628ba280aca16ffd6e4fa4c8f1.md),
Rainy,,,,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Defer revealing Adelle’s name,,,"Irony (../Features/Irony%200a85bc33ac144718937789d5db7d793c.md), Condescension (../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.md)",,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),"Introduce Nivana and Adelle (../Scenes/Introduce%20Nivana%20and%20Adelle%2090a5c6953ff5423ba7cc1a40c8540322.md), Mediev family conversation (../Scenes/Mediev%20family%20conversation%202aa58e628ba2806cb21cfcd50621bcfb.md)","Introduce Nivana and Adelle (../Scenes/Introduce%20Nivana%20and%20Adelle%2090a5c6953ff5423ba7cc1a40c8540322.md), Mediev family conversation (../Scenes/Mediev%20family%20conversation%202aa58e628ba2806cb21cfcd50621bcfb.md)"
Corruption of the Matron,,,Cursed by manifestations of their sin (../Features/Cursed%20by%20manifestations%20of%20their%20sin%20e6b7f4b5115f49f18d304c4660f5cbfb.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Nivana realizes the Matron was once human (../Scenes/Nivana%20realizes%20the%20Matron%20was%20once%20human%20c71e5c1901244291aae224c89b89b598.md),Nivana realizes the Matron was once human (../Scenes/Nivana%20realizes%20the%20Matron%20was%20once%20human%20c71e5c1901244291aae224c89b89b598.md)
Allude to Nivana’s black-sheep uncle,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Mediev family conversation (../Scenes/Mediev%20family%20conversation%202aa58e628ba2806cb21cfcd50621bcfb.md),
The Asylum spanning two cities,,,,Tale of two cities (../Solutions/Tale%20of%20two%20cities%204ad86022c46e49e9843a4c05ab0d3bcd.md),Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
A priest friend who forsakes Nivana,,,Irony (../Features/Irony%200a85bc33ac144718937789d5db7d793c.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Initially present the Bear as a shadowy figure,,,"Mystery (../Features/Mystery%20ec0879edecb14cac922803c13ff88b2c.md), Irony (../Features/Irony%200a85bc33ac144718937789d5db7d793c.md)",,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Nivana supporting her sister,,,"Desperation (../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.md), Family provision (../Features/Family%20provision%20a4f827664b094b91ae244ffa2385ce4d.md)",,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Remote magic trading job,,,James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md),,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Bridging old and new magic job,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Nivana dreaming about the future,,,,,Consideration,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),Nivana dreams of the market (../Scenes/Nivana%20dreams%20of%20the%20market%2010252e2499734346a641d22e1d840284.md),
Magic contracts job,,,James’ job (../Features/James%E2%80%99%20job%201e3a028f3cd8477ba69306ef8654f553.md),,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Old magic methods threatened by new methods,,,,,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Fugue and James having adventures,,,,,High,"TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md), A Child’s Fairytale World (../Data/Products/A%20Child%E2%80%99s%20Fairytale%20World%20c368a02eabb74a47ab322615f2769723.md), The Shadowhood (../Data/Products/The%20Shadowhood%204d73a389101c473ba6bee76d5b4bf0e4.md)",,
James and Adelle having adventures,,,,,High,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
James convicted for pursuing his own ends,,,,,Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Asylum scene,,,,,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
The Shadow Empire,,,Cosmic horror (../Features/Cosmic%20horror%207015e32dadb042b995663e84d5b48388.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
The Watching Door,,,Cosmic horror (../Features/Cosmic%20horror%207015e32dadb042b995663e84d5b48388.md),,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Adelle serving tea to the detective,,,,,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
First arc with James and Nivana,,,,,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Lights catch on fire,,,,Magic lights job (../Solutions/Magic%20lights%20job%202e058e628ba280e7b11feb451b4f28c0.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Making a fortune from salves,,,,Magic lights job (../Solutions/Magic%20lights%20job%202e058e628ba280e7b11feb451b4f28c0.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Weaponized lights,,,,Magic lights job (../Solutions/Magic%20lights%20job%202e058e628ba280e7b11feb451b4f28c0.md),Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Magic lights job,"Weaponized lights (../Solutions/Weaponized%20lights%202e058e628ba28023ae55c01e74574b71.md), Lights catch on fire (../Solutions/Lights%20catch%20on%20fire%202e058e628ba280adab44f7732cc87820.md), Making a fortune from salves (../Solutions/Making%20a%20fortune%20from%20salves%202e058e628ba280b6a823fa58acbcdd24.md)",,,The light industry is booming (../Solutions/The%20light%20industry%20is%20booming%201d958e628ba280998660fe107babe8d8.md),Medium,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Zombie machine job,,,,,Low,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
Words,,,,,,TWOLD (../Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.md),,
