Name,Bible passages,Children,Conflicts,Custom target scene count,Date,Inspiration count,Inspirations,Missing scene count,Parents,Priority,Products,Progress,Solutions,Tags,Weight,Wonderland count,_Form final scenes,_Form scenes,_Rup child scenes,_Rup child scenes 2
Manic energy,,,,,,9,"Doom Patrol (2016) (Inspirations/Inspirations/Doom%20Patrol%20(2016)%20513936adfeba4a2bad778646bcea5cce.csv), X-Factor Investigations (Inspirations/Inspirations/X-Factor%20Investigations%204496354c9e3f44f1939e87dd7ef8abf9.csv), Cursed Princess Club (Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.csv), The Evil Dead 2 (Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.csv), Ash vs. the Evil Dead (Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Big Trouble in Little China (Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.csv), The Great Muppet Caper (Inspirations/Inspirations/The%20Great%20Muppet%20Caper%2015058e628ba280528132f64f29593742.csv), River City Girls (Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.csv), Doctor Who (Inspirations/Inspirations/Doctor%20Who%2027d58e628ba28012bd49c9bb9d4e613f.csv)",,Surreal (Features/Surreal%20cee6644b68094859bf1b17c5e7fd25de.csv),Medium,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,2,0,,,,
Family having fun together,,,,,,0,,,Family (Features/Family%204a141498769b409797d96a49f190e96f.csv),Medium,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,2,0,,,,
Biblical,,,,,,1,The Bible (Inspirations/Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.csv),,,Ultimate,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,8,0,,,,
Condescension,Jesus’ humility (Data/Bible%20passages/Jesus%E2%80%99%20humility%2028f58e628ba280929fa8e798b4c1a6d8.csv),,,,,10,"Sapphire and Steel (Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.csv), Jane Austen (Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.csv), North and South (Inspirations/Inspirations/North%20and%20South%20df777bdbbbdc49129d0231be983b6397.csv), Angel (Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.csv), The Office (Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.csv), Foyle's War (Inspirations/Inspirations/Foyle's%20War%209698e35a1cd140969f69eae29d7c3251.csv), The Bible (Inspirations/Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.csv), Jeeves and Wooster (Inspirations/Inspirations/Jeeves%20and%20Wooster%2018658e628ba280b781bfcabd1d05cd5d.csv), Duchess in Ruins (Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.csv), Surviving Romance (Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv)",,,High,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,"James as Risk Manager (Solutions/James%20as%20Risk%20Manager%201d958e628ba280908cecc171379f6f4f.csv), Adelle as a maid (Solutions/Adelle%20as%20a%20maid%20e44bfe4304c44cfca11e22c29d2a08dd.csv), Defer revealing Adelle’s name (Solutions/Defer%20revealing%20Adelle%E2%80%99s%20name%2028258e628ba280aca5c4f3a1e156b954.csv)",,4,0,,,,
Cozy horror,"Passover (Data/Bible%20passages/Passover%2028f58e628ba28072a68bfe79c6fc5805.csv), Rahab is spared (Data/Bible%20passages/Rahab%20is%20spared%2028f58e628ba2801db739c818e9c112a5.csv), Lot’s house (Data/Bible%20passages/Lot%E2%80%99s%20house%2028f58e628ba280adb191e9ba4f737895.csv), The Levite and his Concubine (Data/Bible%20passages/The%20Levite%20and%20his%20Concubine%2028f58e628ba28075872acfa60e4f2441.csv), Noah’s family in the Ark (Data/Bible%20passages/Noah%E2%80%99s%20family%20in%20the%20Ark%2028f58e628ba280a4a60aeae658f9f247.csv), Houses on sand and rock (Data/Bible%20passages/Houses%20on%20sand%20and%20rock%2028f58e628ba28037ad02edd93bdaa716.csv)",,,,,12,"Berserk (Inspirations/Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.csv), Angel (Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.csv), Buffy the Vampire Slayer (Inspirations/Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.csv), Dark Souls (Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.csv), Neverwinter Nights (Inspirations/Inspirations/Neverwinter%20Nights%20b1de5c0c474b4a9f96d7b652dcd30ece.csv), Alan Wake (Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.csv), Ash vs. the Evil Dead (Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Top Ten Hammer Horrors of Michael Ripper (Inspirations/Inspirations/Top%20Ten%20Hammer%20Horrors%20of%20Michael%20Ripper%20e654f2833b1a4d02b3d76251af2456ae.csv), Big Trouble in Little China (Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.csv), River City Girls (Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.csv), Aliens (Inspirations/Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.csv), Yuuyami Doori Tankentai (Inspirations/Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.csv)",,"Cozy (Features/Cozy%2027e58e628ba280a889b9d93e442abcb8.csv), Survival horror (Features/Survival%20horror%20dc101b6438cf43a8b5f1e17212b8c950.csv)",High,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,Friends and family dining together (Solutions/Friends%20and%20family%20dining%20together%20841883629b3544f182d9ec275e8afecd.csv),,4,0,,,,
Dependency,Abiding in the Vine (Data/Bible%20passages/Abiding%20in%20the%20Vine%2028f58e628ba2803f8a12dcc57fcbbd85.csv),,,,,8,"Naruto (Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.csv), North and South (Inspirations/Inspirations/North%20and%20South%20df777bdbbbdc49129d0231be983b6397.csv), The Office (Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.csv), Jonathan Strange & Mr. Norrell (Inspirations/Inspirations/Jonathan%20Strange%20&%20Mr%20Norrell%20ed711545bad14b739e7b27fb6ad5c1a3.csv), The Strongest Florist (Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.csv), Cursed Princess Club (Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.csv), The Bible (Inspirations/Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.csv), Surviving Romance (Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv)",,,Medium,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,Government dependent on unscrupulous businesses (Solutions/Government%20dependent%20on%20unscrupulous%20businesses%20a885335b70ec43428826c18782d3e2e5.csv),,2,0,,,,
Depictions of virtue,Bearing fruit (Data/Bible%20passages/Bearing%20fruit%2028f58e628ba280a2a708ed04d334b21e.csv),Hospitality (Features/Hospitality%20cad51fd00b284dc094de3a19c1aed59c.csv),,,,10,"Naruto (Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.csv), Jane Austen (Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.csv), North and South (Inspirations/Inspirations/North%20and%20South%20df777bdbbbdc49129d0231be983b6397.csv), The Office (Inspirations/Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.csv), Foyle's War (Inspirations/Inspirations/Foyle's%20War%209698e35a1cd140969f69eae29d7c3251.csv), The Bible (Inspirations/Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.csv), Duchess in Ruins (Inspirations/Inspirations/Duchess%20in%20Ruins%201da58e628ba280fc9173d1f7d7680bf3.csv), Surviving Romance (Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv), Cursed Princess Club (Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.csv), Les Misérables (1998) (Inspirations/Inspirations/Les%20Mis%C3%A9rables%20(1998)%2030eba33ec4bb436180ac254bb05ecb1b.csv)",,,High,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,4,0,,,,
Surreal,,"Custom symbolism (Features/Custom%20symbolism%2021a32bf8277a47d9ab0eb6d7cda2fcbf.csv), Manic energy (Features/Manic%20energy%2031db79f67d82432ca15cc17bbffb2bfd.csv), Dreamlike (Features/Dreamlike%20ce5b83035c894e0da2137f0584297c4d.csv), Intuitive continuity (Features/Intuitive%20continuity%2029458e628ba2809d980bf33a4949e9ea.csv)",,,,34,"H. P. Lovecraft (Inspirations/Inspirations/H%20P%20Lovecraft%208b960aeb87da4d2c816e0219335869e4.csv), Tenkuu Shinpan (Inspirations/Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.csv), Doom Patrol (2016) (Inspirations/Inspirations/Doom%20Patrol%20(2016)%20513936adfeba4a2bad778646bcea5cce.csv), Dark City (Inspirations/Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.csv), Dark Souls (Inspirations/Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.csv), Stranger Things (Inspirations/Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.csv), Mordheim (Inspirations/Inspirations/Mordheim%20e6b55f683b5849d8a23bbbf0b219411b.csv), Neverwinter Nights (Inspirations/Inspirations/Neverwinter%20Nights%20b1de5c0c474b4a9f96d7b652dcd30ece.csv), Alan Wake (Inspirations/Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.csv), American McGee’s Alice (Inspirations/Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.csv), Unforgiving - A Northern Hymn (Inspirations/Inspirations/Unforgiving%20-%20A%20Northern%20Hymn%2096547461fbf64fbfb5f3a64d86e132c0.csv), Sapphire and Steel (Inspirations/Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.csv), Batman (1989) (Inspirations/Inspirations/Batman%20(1989)%20136bf2ccc849460a914cad03bb8dc541.csv), The Evil Dead 2 (Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.csv), Batman Returns (Inspirations/Inspirations/Batman%20Returns%20bb12768ac7c14b5ab55779aa3729e99c.csv), Ash vs. the Evil Dead (Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Blasphemous (Inspirations/Inspirations/Blasphemous%20d3bf4fbc9886450ba5a4709f61bf2920.csv), Big Trouble in Little China (Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.csv), Angel (Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.csv), Buffy the Vampire Slayer (Inspirations/Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.csv), The Great Muppet Caper (Inspirations/Inspirations/The%20Great%20Muppet%20Caper%2015058e628ba280528132f64f29593742.csv), Dilbert (Inspirations/Inspirations/Dilbert%2015158e628ba280598922f8c0b88837c1.csv), Gantz (Inspirations/Inspirations/Gantz%20a24f02cf50174af3a4c065855e47ba14.csv), Labyrinth (Inspirations/Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.csv), Surviving Romance (Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv), The Matrix (Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.csv), Alice in Wonderland (Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.csv), Alice: Madness Returns (Inspirations/Inspirations/Alice%20Madness%20Returns%2008742474377d477e94a76e32db60a661.csv), Discworld series (Inspirations/Inspirations/Discworld%20series%20541909be433a442f8c7ed51c3ce5f0fc.csv), Mieruko-chan (Inspirations/Inspirations/Mieruko-chan%205c8abc58917a455381362cb19b9aed0b.csv), River City Girls (Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.csv), Cursed Princess Club (Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.csv), The Strongest Florist (Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.csv), Through the Looking Glass (Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.csv)",,,High,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,4,0,,,,
God empowering sinners to do good,,,,,,2,"The Bible (Inspirations/Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.csv), Unholy Blood (Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.csv)",,,Medium,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,Adelle as a maid (Solutions/Adelle%20as%20a%20maid%20e44bfe4304c44cfca11e22c29d2a08dd.csv),,2,0,,,,
Family,,Family having fun together (Features/Family%20having%20fun%20together%20043d2efa0315443da237fe73ec5e0a8a.csv),,,,4,"Naruto (Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.csv), Jane Austen (Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.csv), Ash vs. the Evil Dead (Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Mieruko-chan (Inspirations/Inspirations/Mieruko-chan%205c8abc58917a455381362cb19b9aed0b.csv)",,,High,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,4,0,,,,
Frenemies,,,,,,0,,,,Low,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,1,0,,,,
Ideological contests,,,,,,10,"North and South (Inspirations/Inspirations/North%20and%20South%20df777bdbbbdc49129d0231be983b6397.csv), Cursed Princess Club (Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.csv), Naruto (Inspirations/Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.csv), Watchmen (Inspirations/Inspirations/Watchmen%200985cb49b57f4b60bc959cfc391e7176.csv), Unholy Blood (Inspirations/Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.csv), Les Misérables (1998) (Inspirations/Inspirations/Les%20Mis%C3%A9rables%20(1998)%2030eba33ec4bb436180ac254bb05ecb1b.csv), Surviving Romance (Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv), The Matrix (Inspirations/Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.csv), RWBY (Inspirations/Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.csv), Blasphemous (Inspirations/Inspirations/Blasphemous%20d3bf4fbc9886450ba5a4709f61bf2920.csv)",,,High,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,,,4,0,,,,
Irony,,,,,,16,"Angel (Inspirations/Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.csv), Buffy the Vampire Slayer (Inspirations/Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.csv), X-Factor Investigations (Inspirations/Inspirations/X-Factor%20Investigations%204496354c9e3f44f1939e87dd7ef8abf9.csv), The Strongest Florist (Inspirations/Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.csv), Cursed Princess Club (Inspirations/Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.csv), Justice League America (International) (Inspirations/Inspirations/Justice%20League%20America%20(International)%207371ab44a1864032bae75dc0cd3da4ee.csv), Alice in Wonderland (Inspirations/Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.csv), Jane Austen (Inspirations/Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.csv), The Bible (Inspirations/Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.csv), Watchmen (Inspirations/Inspirations/Watchmen%200985cb49b57f4b60bc959cfc391e7176.csv), The Evil Dead 2 (Inspirations/Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.csv), Ash vs. the Evil Dead (Inspirations/Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Through the Looking Glass (Inspirations/Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.csv), Surviving Romance (Inspirations/Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv), Big Trouble in Little China (Inspirations/Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.csv), River City Girls (Inspirations/Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.csv)",,,Medium,TWOLD (Data/Products/TWOLD%20e028aa0786f5449984a4f497c1d746fa.csv),,"Initially present the Bear as a shadowy figure (Solutions/Initially%20present%20the%20Bear%20as%20a%20shadowy%20figure%202aa58e628ba280b98884fd832e656357.csv), Defer revealing Adelle’s name (Solutions/Defer%20revealing%20Adelle%E2%80%99s%20name%2028258e628ba280aca5c4f3a1e156b954.csv), A priest friend who forsakes Nivana (Solutions/A%20priest%20friend%20who%20forsakes%20Nivana%202aa58e628ba2807fb550fe23d1424694.csv)",,2,0,,,,
